language_type_id,language_name
1,ko
2,tn
3,tt
4,sk
5,ru
6,nv
7,af
8,os
9,my
10,de
11,xx
12,cs
13,sm
14,ur
15,si
16,ie
17,hz
18,ha
19,ca
20,gu
21,sl
22,ku
23,ta
24,hr
25,sh
26,jv
27,mn
28,nl
29,mo
30,xh
31,dv
32,ba
33,ay
34,fa
35,sa
36,mi
37,ig
38,uk
39,sg
40,id
41,gn
42,rw
43,lb
44,qu
45,gd
46,am
47,ny
48,hy
49,eo
50,ja
51,ln
52,so
53,ce
54,sr
55,lv
56,kn
57,ms
58,yi
59,cr
60,hi
61,tw
62,lo
63,da
64,la
65,rm
66,en
67,bn
68,or
69,bo
70,tr
71,lt
72,fi
73,nn
74,th
75,ga
76,pa
77,as
78,az
79,sq
80,zh
81,is
82,st
83,ab
84,pt
85,te
86,oj
87,no
88,et
89,ka
90,ee
91,he
92,ug
93,cy
94,hu
95,aa
96,ho
97,ar
98,tl
99,oc
100,nr
101,ml
102,gl
103,zu
104,tg
105,ne
106,av
107,cn
108,mk
109,uz
110,bg
111,nb
112,km
113,dz
114,bs
115,sd
116,vi
117,be
118,mt
119,ki
120,fo
121,es
122,sw
123,pi
124,gv
125,eu
126,kk
127,pl
128,ps
129,kr
130,iu
131,ti
132,se
133,it
134,wo
135,ak
136,mr
137,yo
138,fr
139,fy
140,wa
141,sv
142,ro
143,el
